,Date,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
325,2016-11-24,51291.81910409496,53185.88860308804,50283.84885306812,58031.12510711521,46065.06158371901,53237.07206171231,55376.02766449247,50364.24400353358,50871.07248594767,50226.80245226927
326,2016-11-25,51291.81910409496,53185.88860308804,50283.84885306812,58031.12510711521,46065.06158371901,53237.07206171231,55376.02766449247,50364.24400353358,50871.07248594767,50226.80245226927
327,2016-11-26,51233.39411065294,53222.0165526708,50320.46632438373,58159.20852318232,46151.28476267066,53370.63058384394,55211.46410642765,50361.26732508024,50822.576532324165,50414.064779143395
328,2016-11-27,51233.39411065294,53222.0165526708,50320.46632438373,58159.20852318232,46151.28476267066,53370.63058384394,55211.46410642765,50361.26732508024,50822.576532324165,50414.064779143395
329,2016-11-28,51233.39411065294,53222.0165526708,50320.46632438373,58159.20852318232,46151.28476267066,53370.63058384394,55211.46410642765,50361.26732508024,50822.576532324165,50414.064779143395
330,2016-11-29,50859.116800278665,53104.08771369059,50086.80870868091,58004.75097554966,45941.5962813244,53222.826777336544,55101.751101258604,50073.574892300145,50618.05299623738,50183.21965771789
331,2016-11-30,51184.27646763323,53069.86038875983,49979.655301690334,58074.6944302605,45954.353291053834,53404.05758357096,55183.79446478846,50031.61598612018,50815.89741856506,50393.34470957783
332,2016-12-01,50925.56339415186,52667.98415470064,49980.498489631485,57787.680920779014,45402.58845749554,52729.24493265599,54741.80464047485,50199.56655778112,50461.23257060374,49970.95530061217
333,2016-12-02,49935.50820523448,52520.95200597545,48898.16069707698,56707.69818578414,45033.65049390029,52041.603416239275,54173.993371940574,49645.29040394272,50002.67793611939,49680.30682928316
334,2016-12-03,50190.65679433005,52604.23041656726,49143.953734584255,56877.55501633829,45208.998567613104,52304.28183120211,54091.1127864934,49863.99617403974,49702.465773964286,49591.794225186924
335,2016-12-04,50190.65679433005,52604.23041656726,49143.953734584255,56877.55501633829,45208.998567613104,52304.28183120211,54091.1127864934,49863.99617403974,49702.465773964286,49591.794225186924
